字体系列名,字体系列链接,开发者名,开发者链接,字体名,字体链接,样式,字重数,协议名,协议链接,简,繁,日,韩
〃,,〃,,文泉驿正黑,http://wenq.org/wqy2/index.cgi?ZenHei,,1,GNU GPLv2,https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html,✓,✓,✓,✓
〃,,〃,,文泉驿点阵正黑,http://wenq.org/wqy2/index.cgi?ZenHei,,1,〃,,✓,✓,✓,✓
〃,,〃,,文泉驿等宽正黑,http://wenq.org/enindex.cgi?ZenHei#nightly_build_NB,,1,〃,,✓,✓,✓,✓
〃,,〃,,文泉驿点阵宋,http://wenq.org/wqy2/index.cgi?BitmapSong,宋,1,〃,,✓,✓,✓,✓
〃,,〃,,文泉驿Unibit,http://wenq.org/enindex.cgi?Unibit,宋,1,〃,,✓,✓,✓,✓
Droid,,Google,,Droid Sans Fallback,https://github.com/jenskutilek/free-fonts/blob/master/Droid/Droid%20Sans%20Fallback/DroidSansFallback.ttf?raw=true,黑,1,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0,✓,✓,✓,✓
CJKUnifonts,https://www.freedesktop.org/wiki/Software/CJKUnifonts/,Arne Götje,,AR PL UMing,,宋,1,Arphic Public License (free),http://ftp.gnu.org/non-gnu/chinese-fonts-truetype/LICENSE,✓,✓,✓,✓
〃,,〃,,AR PL UKai,,楷,1,〃,,✓,✓,✓,✓
CNS11643中文标准交换码全字库,https://data.gov.tw/dataset/5961,教育部,,全字库楷体,,楷,1,"Open Government Data License, version 1.0",https://data.gov.tw/license#eng,✓,✓,✓,✓
〃,,〃,,全字库宋体,,宋,1,〃,,✓,✓,✓,✓
〃,,〃,,全字库说文解字字形,http://www.cns11643.gov.tw/AIDB/download.do?name=%E5%AD%97%E5%9E%8B%E4%B8%8B%E8%BC%89,篆,1,CC BY-NC-SA 3.0 TW,https://creativecommons.org/licenses/by-nc-sa/3.0/tw/deed.en,,✓,,
教育部标准字体,https://github.com/Jiehong/TW-fonts,〃,,教育部标准楷书,,楷,1,CC-BY-ND 3.0,https://creativecommons.org/licenses/by-nd/3.0/,,✓,,
〃,,〃,,教育部标准宋体,,宋,1,〃,,,✓,,
IPA,http://ipafont.ipa.go.jp/#jp,IPA 独立行政法人情報処理推進機構,,IPAex明朝,,宋,1,IPA Font License Agreement V1.0,http://ipafont.ipa.go.jp/ipa_font_license_v1-html#jp,✓,✓,✓,✓
〃,,〃,,IPAexゴシック,,黑,1,〃,,✓,✓,✓,✓
jf open 粉圆,https://github.com/justfont/open-huninn-font,justfont,https://justfont.com/,jf open 粉圆,https://github.com/justfont/open-huninn-font,圆,1,"SIL Open Font License, Version 1.1",http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=OFL,,✓,✓,
I.字坊,,I.字坊,https://github.com/ichitenfont,I.明体,,宋,1,IPA Font License Agreement V1.0,http://ipafont.ipa.go.jp/ipa_font_license_v1-html#jp,,✓,✓,
〃,,〃,,I.颜体,http://founder.acgvlyric.org/iu/doku.php/%E9%80%A0%E5%AD%97:%E9%96%8B%E6%BA%90%E5%AD%97%E5%9E%8B_i.%E9%A1%8F%E9%AB%94,楷,1,GNU GPLv2+,https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html,,✓,,
〃,,〃,,I.钢笔鹤体,http://founder.acgvlyric.org/iu/doku.php/%E9%80%A0%E5%AD%97:%E9%96%8B%E6%BA%90%E5%AD%97%E5%9E%8B_i.%E9%8B%BC%E7%AD%86%E9%B6%B4%E9%AB%94,艺,1,〃,,,✓,,
瀨戸フォント,https://osdn.net/projects/setofont/,瀬戸のぞみ,,瀨戸フォント,,艺,1,"SIL Open Font License, Version 1.1",http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=OFL,✓,✓,✓,
cwTeX,,L10n Taiwan,http://l10n.tw/,cwTeX中明体,,宋,1,"GNU GPLv2+ & SIL Open Font License, Version 1.1",https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html,,✓,,
〃,,〃,,cwTeX中楷体,,楷,1,〃,,,✓,,
〃,,〃,,cwTeX中圆体,,圆,1,〃,,,✓,,
〃,,〃,,cwTeX中仿宋,,仿,1,〃,,,✓,,
〃,,〃,,cwTeX粗黑体,,黑,1,〃,,,✓,,
王汉宗自由字体,https://code.google.com/archive/p/wangfonts/,王汉宗,,王汉宗超明体,,宋,1,GNU GPLv2,https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html,,✓,,
〃,,〃,,王汉宗特明体标准,,宋,1,〃,,,✓,,
〃,,〃,,王汉宗细新宋简体,,宋,1,〃,,,✓,,
〃,,〃,,王汉宗特黑体,,黑,1,〃,,,✓,,
〃,,〃,,王汉宗细黑体,,黑,1,〃,,,✓,,
〃,,〃,,王汉宗粗黑体实阴,,黑,1,〃,,,✓,,
〃,,〃,,王汉宗仿宋标准,,仿,1,〃,,,✓,,
〃,,〃,,王汉宗颜楷体,,楷,1,〃,,,✓,,
〃,,〃,,王汉宗中魏碑简体,,楷,1,〃,,,✓,,
〃,,〃,,王汉宗标楷体空心,,楷,1,〃,,,✓,,
〃,,〃,,王汉宗粗圆体双空,,圆,1,〃,,,✓,,
〃,,〃,,王汉宗粗钢体标准,,艺,1,〃,,,✓,,
〃,,〃,,王汉宗钢笔行楷,,艺,1,〃,,,✓,,
〃,,〃,,王汉宗超黑俏皮动物,,艺,1,〃,,,✓,,
〃,,〃,,王汉宗波浪体,,艺,1,〃,,,✓,,
〃,,〃,,王汉宗波卡体空阴,,艺,1,〃,,,✓,,
〃,,〃,,王汉宗海报体半天水,,艺,1,〃,,,✓,,
文鼎开放字体,,文鼎,,AR PL BaoSong2GBK,,宋,1,Arphic Public License (non-commercial),https://web.archive.org/web/20110707164354/http://www.arphic.com/tw/download/public_license.rar,,✓,,
〃,,〃,,AR PL MingU20-L,,宋,1,〃,,,✓,,
〃,,〃,,AR PL Mingti2L Big5,,宋,1,Arphic Public License (free),http://ftp.gnu.org/non-gnu/chinese-fonts-truetype/LICENSE,,✓,,
〃,,〃,,AR PL SungtiL GB,,宋,1,〃,,✓,,,
〃,,〃,,AR PL KaitiM Big5,,楷,1,〃,,,✓,,
〃,,〃,,AR PL KaitiM GB,,楷,1,〃,,✓,,,
自由香港字型,,香港自由字型,,自由香港楷书,,楷,1,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,,✓,,
M+Fonts,http://mplus-fonts.osdn.jp/,森下浩司,,M+ P Type-1,,黑,7,M+Fonts License,http://mplus-fonts.osdn.jp/about.html#license,,,✓,
〃,,〃,,M+ P Type-2,,黑,7,〃,,,,✓,
〃,,〃,,M+ C Type-1,,黑,7,〃,,,,✓,
〃,,〃,,M+ C Type-2,,黑,7,〃,,,,✓,
〃,,〃,,M+ M Type-1,,黑,7,〃,,,,✓,
〃,,〃,,M+ M Type-2,,黑,7,〃,,,,✓,
〃,,〃,,M+ MN Type-1,,黑,7,〃,,,,✓,
851,https://pm85122.onamae.jp/85122font.html,8:51:22 pm,,851ゴチカクット,https://pm85122.onamae.jp/851Gkktt.html,艺,1,自由修改分发，可商用，保留著作权,,,,✓,
〃,,〃,,851手書き雑フォント,https://pm85122.onamae.jp/851fontpage.html,艺,1,〃,,✓,✓,✓,✓
〃,,〃,,851チカラヅヨク,https://pm85122.onamae.jp/851ch-dz.html,艺,2,〃,,,✓,,
〃,,〃,,851チカラヨワク,https://pm85122.onamae.jp/851ch-yw.html,艺,1,〃,,,✓,,
〃,,〃,,851テガキカクット,https://pm85122.onamae.jp/851H_kktt.html,艺,1,〃,,,✓,,
〃,,〃,,851マカポップ,https://pm85122.onamae.jp/851mkpop.html,艺,1,〃,,,✓,,
〃,,〃,,851マカポップ,https://pm85122.onamae.jp/851mkpop.html,艺,1,〃,,,✓,,
Kazesawa,https://kazesawa.github.io/,kazesawa,,Kazesawa,,黑,6,"SIL Open Font License, Version 1.1",http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=OFL,,,✓,
FLOP DESIGN,,FLOP DESIGN,https://www.flopdesign.com/,装甲明朝,https://flopdesign.com/blog/font/5228/,宋,1,〃,,,✓,✓,
Sazanami,https://ja.osdn.net/projects/efont/,狩野宏樹,,Sazanami ゴシック,,黑,1,BSD,,,✓,,
〃,,〃,,Sazanami 明朝,,宋,1,〃,,,✓,,
Un Fonts,http://kldp.net/unfonts/,"wkpark, Jungshik Shin, 김도현",,UnBatang,,宋,2,GNU GPLv3,https://www.gnu.org/licenses/gpl-3.0.en.html,,✓,,✓
〃,,〃,,UnDotum,,黑,2,〃,,,✓,,✓
〃,,〃,,UnShinmun,,宋,1,〃,,,✓,,✓
〃,,〃,,UnYetgul,,隶,1,〃,,,✓,,✓
〃,,〃,,UnGungseo,,艺,1,〃,,,✓,,✓
さわらび,http://sawarabi-fonts.osdn.jp/,mishio,,さわらびゴシック,,黑,1,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/deed.ja,,,✓,
〃,,〃,,さわらび明朝,,宋,1,〃,,,,✓,
Typing Art开源字体,,中井良尚,https://twitter.com/typingart,こころ明朝体,http://typingart.net/?p=46,宋,1,IPA Font License Agreement V1.0,http://ipafont.ipa.go.jp/ipa_font_license_v1-html#jp,,,✓,
〃,,〃,,はんなり明朝,http://typingart.net/?p=44,宋,1,〃,,,,✓,
〃,,〃,,こども丸ゴシック,http://typingart.net/?p=51,艺,2,〃,,,,✓,
